Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Firefox 91.0,,,2021-08-27 13:38:52,2021-08-27 13:39:58,1m - 5.720s,PASSED
,,,,,,,
Test Cases/test1,Firefox 91.0,,,2021-08-27 13:38:53,2021-08-27 13:39:45,52.455s,PASSED
"openBrowser(""www.amazon.com"")",Firefox 91.0,,,2021-08-27 13:38:53,2021-08-27 13:39:44,50.697s,PASSED
closeBrowser(),Firefox 91.0,,,2021-08-27 13:39:44,2021-08-27 13:39:45,1.294s,PASSED
,,,,,,,
Test Cases/test2,Firefox 91.0,,,2021-08-27 13:39:45,2021-08-27 13:39:50,5.335s,PASSED
"openBrowser(""www.youtube.com"")",Firefox 91.0,,,2021-08-27 13:39:45,2021-08-27 13:39:49,4.239s,PASSED
closeBrowser(),Firefox 91.0,,,2021-08-27 13:39:49,2021-08-27 13:39:50,0.933s,PASSED
,,,,,,,
Test Cases/Test3,Firefox 91.0,,,2021-08-27 13:39:50,2021-08-27 13:39:58,7.541s,PASSED
"openBrowser(""www.google.com"")",Firefox 91.0,,,2021-08-27 13:39:51,2021-08-27 13:39:57,6.594s,PASSED
closeBrowser(),Firefox 91.0,,,2021-08-27 13:39:57,2021-08-27 13:39:58,0.811s,PASSED
